Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Deandre Ayton,12632950.0,10558326.0,10143580.0,8815238.0,,,,,,,,,,,,,,,,,,,,,,
Terrence Ross,12500000.0,14227845.0,13258999.0,11321160.0,11646253.0,11272850.0,4046233.0,3184938.0,3116759.0,3034904.0,,,,,,,,,,,,,,,,
Jordan Clarkson,12420000.0,12120016.0,14253424.0,13477572.0,12824743.0,14091063.0,962123.0,578331.0,,,,,,,,,,,,,,,,,,
Dillon Brooks,12200000.0,12014625.0,1716796.0,1486028.0,904653.0,,,,,,,,,,,,,,,,,,,,,
Kelly Olynyk,12195122.0,13510815.0,13437078.0,14596240.0,13317955.0,3487834.0,2465094.0,2366235.0,2311249.0,,,,,,,,,,,,,,,,,
Nicolas Batum,12026998.0,12234082.0,27117536.0,25876939.0,24883920.0,23525950.0,13503793.0,12984452.0,12706370.0,14148490.0,2594359.0,1491775.0,1409237.0,1292131.0,,,,,,,,,,,,
Josh Hart,12000000.0,3679383.0,2051602.0,1784603.0,1546755.0,,,,,,,,,,,,,,,,,,,,,
Jusuf Nurkic,12000000.0,13583787.0,12728639.0,11980064.0,3269052.0,2165875.0,2097168.0,2009344.0,,,,,,,,,,,,,,,,,,
Kelly Oubre,12000000.0,15150021.0,16573749.0,3459563.0,2321530.0,2262055.0,2186246.0,,,,,,,,,,,,,,,,,,,
Josh Richardson,11615328.0,11451784.0,10730854.0,10099769.0,1632008.0,985964.0,597832.0,,,,,,,,,,,,,,,,,,,
Marvin Bagley,11312114.0,9446910.0,9075647.0,7887032.0,,,,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,11109327.0,10935077.0,10481608.0,24687893.0,25114147.0,23859750.0,22416474.0,13041019.0,12783514.0,12470771.0,12132329.0,1065006.0,927625.0,682918.0,,,,,,,,,,,,
Dwight Powell,11080125.0,11677504.0,10882324.0,10384469.0,9985969.0,9441012.0,962123.0,578331.0,,,,,,,,,,,,,,,,,,
Devonte Graham,11000000.0,1753567.0,1502883.0,1065767.0,,,,,,,,,,,,,,,,,,,,,,
Zion Williamson,10733400.0,10797860.0,10349911.0,,,,,,,,,,,,,,,,,,,,,,,
Larry Nance Jr,10690909.0,12340380.0,13500072.0,2450104.0,1632008.0,1361399.0,1315682.0,,,,,,,,,,,,,,,,,,,
Jeremy Lamb,10500000.0,11066102.0,11137559.0,7547440.0,7764168.0,7890995.0,3454698.0,2510141.0,2456462.0,2391864.0,,,,,,,,,,,,,,,,
Richaun Holmes,10384500.0,5275211.0,5056452.0,1725689.0,1632008.0,1154339.0,1223917.0,,,,,,,,,,,,,,,,,,,
Reggie Jackson,10384500.0,2457299.0,543853.0,18376376.0,17746671.0,16860264.0,15840387.0,2651128.0,1547209.0,1471774.0,1391833.0,,,,,,,,,,,,,,,
Al-Farouq Aminu,10335621.0,10244997.0,9820145.0,7501190.0,8118032.0,8658637.0,9157059.0,1118373.0,4305173.0,3490118.0,3316799.0,3195209.0,,,,,,,,,,,,,,
Anthony Edwards,10245480.0,10283507.0,,,,,,,,,,,,,,,,,,,,,,,,
Luka Doncic,10174391.0,8483337.0,8149893.0,7082776.0,,,,,,,,,,,,,,,,,,,,,,
Cade Cunningham,10050120.0,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Satoransky,10000000.0,10539145.0,10607199.0,3373907.0,3327500.0,3236224.0,,,,,,,,,,,,,,,,,,,,
Danny Green,10000000.0,16194295.0,15522732.0,10782057.0,11091669.0,11272850.0,11385278.0,4588246.0,4377895.0,4143909.0,1028406.0,117364.0,576397.0,,,,,,,,,,,,,
Tristan Thompson,9946611.0,9757140.0,19664825.0,18835786.0,18190338.0,17281770.0,16235406.0,6179863.0,4986507.0,4743094.0,4485616.0,,,,,,,,,,,,,,,
Kyle Anderson,9937150.0,10017562.0,9623965.0,9316776.0,2386599.0,1343814.0,1301200.0,1246726.0,,,,,,,,,,,,,,,,,,
Jae Crowder,9720900.0,9757140.0,8290092.0,7877182.0,7538028.0,7086574.0,7737568.0,1043319.0,917900.0,710965.0,,,,,,,,,,,,,,,,
Derrick Favors,9720900.0,9757140.0,18721707.0,18221677.0,13310003.0,12456500.0,13662333.0,14762183.0,6990794.0,5627807.0,5348362.0,5152183.0,,,,,,,,,,,,,,
Serge Ibaka,9720900.0,9757140.0,24684655.0,23361125.0,22251807.0,13809242.0,13946965.0,13964228.0,14253614.0,2667565.0,1550574.0,1501049.0,1411051.0,,,,,,,,,,,,,
Derrick Jones,9720900.0,9757140.0,1745263.0,1630895.0,513405.0,612646.0,,,,,,,,,,,,,,,,,,,,
Montrezl Harrell,9720900.0,9757140.0,6364319.0,6469234.0,1632008.0,1178012.0,1138527.0,,,,,,,,,,,,,,,,,,,
Ja Morant,9603360.0,9661023.0,9260340.0,,,,,,,,,,,,,,,,,,,,,,,
Alec Burks,9536000.0,6323487.0,2460917.0,12438737.0,12029477.0,11165189.0,10489807.0,3649358.0,2703183.0,2571165.0,2431664.0,,,,,,,,,,,,,,,
Reggie Bullock,9536000.0,4426440.0,4242879.0,2695514.0,2772917.0,2542753.0,1425892.0,1368745.0,1336930.0,,,,,,,,,,,,,,,,,
Talen Horton-Tucker,9500000.0,1599822.0,952855.0,,,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,9248333.0,8431316.0,14893671.0,13928055.0,15573920.0,2624917.0,1611608.0,1546985.0,1511046.0,,,,,,,,,,,,,,,,,
