Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Chris Bosh,,,,,,,"$26,837,720","$28,936,585","$25,289,390","$28,050,156","$23,741,060","$26,762,943","$22,192,730","$25,267,040","$20,644,400","$23,533,315","$19,067,500","$22,186,187","$17,545,000","$20,772,824","$16,022,500","$19,285,887","$14,500,000","$18,074,424","$15,779,912","$19,877,042","$14,410,581","$17,893,184","$12,455,000","$16,241,618","$4,235,220","$5,671,228","$3,348,000","$4,676,803","$3,129,720","$4,482,511","$2,911,320","$4,305,900",,,,,,,,,,,,,,
Allen Crabbe,,,,,,,"$19,332,500","$20,844,413","$18,500,000","$20,519,589","$18,500,000","$20,854,774","$947,276","$1,078,500","$862,000","$982,625","$825,000","$959,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,,,,,,,"$17,133,285","$18,473,206","$16,000,000","$17,746,671","$15,500,000","$17,472,919","$7,448,760","$8,480,620","$7,128,000","$8,125,470","$19,285,850","$22,440,250","$19,000,000","$22,495,507","$18,714,150","$22,525,760","$17,823,000","$22,216,584","$16,452,000","$20,723,633","$15,106,000","$18,756,665","$13,735,000","$17,910,769","$12,364,000","$16,556,182","$10,993,000","$15,356,062","$4,318,481","$6,185,102","$2,618,395","$3,872,658","$3,193,680","$4,823,291","$2,970,840","$4,534,636",,,,,,,,,,
Kenneth Faried,,,,,,,"$14,242,782","$15,356,649","$12,921,348","$14,331,932","$12,078,652","$13,616,084","$11,235,955","$12,792,447","$2,373,537","$2,705,682","$1,442,880","$1,678,877","$1,348,800","$1,596,944","$1,254,720","$1,510,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Gortat,,,,,,,"$13,565,218","$14,626,096","$12,782,609","$14,178,047","$12,000,000","$13,527,421","$11,217,391","$12,771,311","$10,434,782","$11,894,993","$7,727,280","$8,991,156","$7,258,960","$8,594,420","$6,790,640","$8,173,725","$6,322,320","$7,880,848","$5,854,000","$7,373,945","$711,517","$883,469","$427,163","$557,030",,,,,,,,,,,,,,,,,,,,,,
Jeremy Lin,,,,,,,"$12,516,746","$13,495,627","$12,000,000","$13,310,003","$11,483,254","$12,944,901","$2,139,000","$2,435,310","$14,898,938","$16,983,850","$5,225,000","$6,079,602","$5,000,000","$5,919,870","$762,195","$917,435","$473,604","$590,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Mirotic,,,,,,,"$12,500,000","$13,477,572","$12,500,000","$13,864,587","$5,782,450","$6,518,469","$5,543,725","$6,311,685","$5,305,000","$6,047,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyreke Evans,,,,,,,"$12,400,000","$13,369,751","$3,290,000","$3,649,159","$10,203,755","$11,502,540","$10,734,586","$12,221,624","$11,265,416","$12,841,864","$11,796,247","$13,725,645","$5,251,824","$6,218,023","$4,151,640","$4,997,226","$3,880,920","$4,837,613","$3,610,080","$4,547,409",,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Plumlee,,,,,,,"$12,400,000","$13,369,751","$12,400,000","$13,753,670","$12,400,000","$13,978,335","$2,109,293","$2,401,488","$1,169,880","$1,333,589","$1,121,520","$1,304,956","$1,073,280","$1,270,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Randolph,,,,,,,"$11,692,308","$12,606,714","$12,307,692","$13,651,285","$10,000,000","$11,272,850","$10,000,000","$11,385,278","$16,500,000","$18,808,960","$17,800,000","$20,711,374","$16,500,000","$19,535,572","$15,200,000","$18,295,864","$17,666,666","$22,021,712","$16,000,000","$20,154,274","$14,666,667","$18,211,159","$13,333,333","$17,386,985","$12,000,000","$16,068,762","$10,666,667","$14,900,209","$1,504,272","$2,154,479","$1,172,160","$1,733,648","$1,095,720","$1,654,823","$1,019,280","$1,555,810",,,,,,,,,,
Omer Asik,,,,,,,"$11,286,516","$12,169,186","$10,595,505","$11,752,184","$9,904,494","$11,165,188","$9,213,483","$10,489,806","$14,898,938","$16,983,850","$5,225,000","$6,079,602","$5,000,000","$5,919,870","$1,857,500","$2,235,826","$1,721,000","$2,145,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirza Teletovic,,,,,,,"$10,500,000","$11,321,160","$10,500,000","$11,646,253","$10,500,000","$11,836,493","$5,500,000","$6,261,902","$3,368,100","$3,839,421","$3,229,050","$3,757,194","$3,090,000","$3,658,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,,,,,,,"$8,739,500","$9,422,979","$8,393,000","$9,309,238","$8,046,500","$9,070,699","$7,700,000","$8,766,664","$3,000,000","$3,419,810","$3,000,000","$3,490,681","$3,000,000","$3,551,922","$2,203,792","$2,652,650","$1,352,640","$1,686,082","$1,214,040","$1,529,255","$1,129,320","$1,402,242",,,,,,,,,,,,,,,,,,,,,,,,
Jerryd Bayless,,,,,,,"$8,575,916","$9,246,602","$9,000,000","$9,982,502","$9,424,084","$10,623,629","$3,000,000","$3,415,583","$3,000,000","$3,419,810","$3,135,000","$3,647,761","$3,100,000","$3,670,319","$3,042,280","$3,661,917","$2,292,600","$2,857,753","$2,143,080","$2,699,513","$1,993,560","$2,475,343",,,,,,,,,,,,,,,,,,,,,,,,
Darrell Arthur,,,,,,,"$7,464,912","$8,048,711","$7,464,912","$8,279,833","$8,070,175","$9,097,388","$2,814,000","$3,203,817","$3,457,149","$3,940,931","$3,231,683","$3,760,258","$3,006,217","$3,559,282","$2,027,119","$2,439,993","$1,123,680","$1,400,680","$1,050,480","$1,323,228","$977,160","$1,213,310",,,,,,,,,,,,,,,,,,,,,,,,
Lance Thomas,,,,,,,"$7,119,650","$7,676,447","$6,655,325","$7,381,866","$6,191,000","$6,979,022","$1,636,842","$1,863,590","$937,004","$1,068,125","$884,293","$1,028,928","$762,195","$902,419","$328,444","$395,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milos Teodosic,,,,,,,"$6,300,000","$6,792,696","$6,000,000","$6,655,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Johnson,,,,,,,"$6,134,000","$6,613,714","$5,881,260","$6,523,299","$5,628,000","$6,344,360","$1,100,602","$1,253,065","$981,084","$1,118,373","$916,099","$1,065,936","$4,285,560","$5,073,991","$4,006,080","$4,822,019","$3,726,600","$4,645,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Simmons,,,,,,,"$6,000,000","$6,469,234","$6,300,000","$6,987,752","$874,636","$985,964","$525,093","$597,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
